pestisit_adi,kullanildigi_urun,mrl_limiti
Imidacloprid,Soya bean (dry),3.0
Imidacloprid,Plums (including fresh prunes) (subgroup),1.5
Imidacloprid,Root and tuber vegetables (group),0.5
Imidacloprid,Wheat flour,0.03
Imidacloprid,Table olives,2.0
Imidacloprid,"Basil, leaves",20.0
Imidacloprid,Apple,0.5
Imidacloprid,Pomegranate,1.0
Imidacloprid,Beans with pods (Phaseolus spp.) (immature pods and succulent seeds),2.0
Imidacloprid,"Soya bean, hay and/or straw",50.0
Imidacloprid,Grapes,1.0
Imidacloprid,Almond hulls,5.0
Imidacloprid,Pear,1.0
Imidacloprid,Banana,0.05
Imidacloprid,"Peas, shelled (succulent seeds)",2.0
Imidacloprid,Poultry meat,0.02
Imidacloprid,Cauliflower,0.5
Imidacloprid,Rape seed,0.05
Imidacloprid,Cherries (subgroup),4.0
Imidacloprid,"Wheat, hay and/or straw",1.0
Imidacloprid,Eggs,0.02
Imidacloprid,Peppers (subgroup),1.0
Imidacloprid,Brussels sprouts,0.5
Imidacloprid,"Cabbages, head",0.5
Imidacloprid,Peanut fodder,30.0
Imidacloprid,Prunes,5.0
Imidacloprid,Peaches (including apricots and nectarine) (subgroup),1.5
Imidacloprid,Tree nuts (group),0.01
Imidacloprid,"Hops, dry",10.0
Imidacloprid,"Wheat bran, unprocessed",0.3
Imidacloprid,Melons (except watermelon),0.2
Imidacloprid,Cucumber,1.0
Imidacloprid,Sweet corn fodder,5.0
Imidacloprid,Milks,0.1
Imidacloprid,Berries and other small fruits,5.0
Imidacloprid,Mango,0.2
Imidacloprid,"Poultry, edible offal of",0.05
Imidacloprid,Coffee beans,1.0
Imidacloprid,"Squash, summer",1.0
Imidacloprid,"Onion, bulb",0.1
Imidacloprid,Cranberry,0.05
Imidacloprid,Radish leaves (including radish tops),5.0
Imidacloprid,Maize fodder (dry),0.2
Imidacloprid,Peanut,1.0
Imidacloprid,Pulses (group),2.0
Imidacloprid,Edible offal (mammalian),0.3
Imidacloprid,"Tea, green, black (black, fermented and dried)",50.0
Imidacloprid,Watermelon,0.2
Imidacloprid,Sweet corn (corn-on-the-cob),0.02
Imidacloprid,Broccoli,0.5
Imidacloprid,"Rye straw and fodder, dry",1.0
Methoxyfenozide,Common bean (pods and/or immature seeds),2.0
Methoxyfenozide,Sugar beet,0.3
Methoxyfenozide,Sweet corn (corn-on-the-cob),0.02
Methoxyfenozide,Meat (from mammals other than marine mammals),0.3
Methoxyfenozide,Sweet potato,0.02
Methoxyfenozide,Sweet corn fodder,7.0
Methoxyfenozide,Strawberry,2.0
Methoxyfenozide,"Peppers chili, dried",20.0
Methoxyfenozide,Prunes,2.0
Methoxyfenozide,Radish leaves (including radish tops),7.0
Methoxyfenozide,Eggs,0.01
Methoxyfenozide,Beans without pods (Phaseolus spp.) (succulent seeds),0.3
Methoxyfenozide,"Grape, dried (= Currants, Raisins and Sultanas)",2.0
Methoxyfenozide,Broccoli,3.0
Methoxyfenozide,"Basil, leaves",80.0
Methoxyfenozide,Sugar cane molasses,0.1
Methoxyfenozide,Almond hulls,50.0
Methoxyfenozide,"Tea, green, black (black, fermented and dried)",80.0
Methoxyfenozide,"Lettuce, head",15.0
Methoxyfenozide,Avocado,0.7
Methoxyfenozide,Papaya,1.0
Methoxyfenozide,Tomato,2.0
Methoxyfenozide,Coffee beans,0.15
Methoxyfenozide,Pome fruits (group),2.0
Methoxyfenozide,Cowpea (dry),5.0
Methoxyfenozide,"Peanut oil, edible",0.1
Methoxyfenozide,Maize fodder (dry),60.0
Methoxyfenozide,Maize,0.02
Methoxyfenozide,"Cabbages, head",7.0
Methoxyfenozide,Milks,0.05
Methoxyfenozide,"Basil leaves, dried",400.0
Methoxyfenozide,Blueberries,4.0
Methoxyfenozide,Citrus fruits (group),2.0
Methoxyfenozide,"Peas, shelled (succulent seeds)",0.3
Methoxyfenozide,Mustard greens,30.0
Methoxyfenozide,Cranberry,0.7
Methoxyfenozide,Peppers (subgroup),2.0
Methoxyfenozide,Celery,15.0
Methoxyfenozide,Mammalian fats (except milk fats),0.3
Methoxyfenozide,Peanut,0.03
Methoxyfenozide,"Poultry, edible offal of",0.01
Methoxyfenozide,Grapes,1.0
Methoxyfenozide,"Fruiting vegetables, cucurbits (group)",0.3
Methoxyfenozide,Carrot,0.5
Methoxyfenozide,Edible offal (mammalian),0.2
Methoxyfenozide,"Lettuce, leaf",30.0
Methoxyfenozide,Bean (dry),0.5
Methoxyfenozide,Sugar cane,0.01
Methoxyfenozide,Stone fruits (group),2.0
Methoxyfenozide,Peas (pods and succulent=immature seeds),2.0
Methoxyfenozide,Radish,0.4
Methoxyfenozide,Peas (dry),5.0
Methoxyfenozide,Cotton seed,7.0
Methoxyfenozide,Peanut fodder,80.0
Methoxyfenozide,Poultry meat,0.01
Methoxyfenozide,Tree nuts (group),0.1
Metalaxyl-M,Acerola,
Trifloxystrobin,Sugar beet,0.05
Trifloxystrobin,Edible offal (mammalian),0.09
Trifloxystrobin,"Rice, hay and/or straw",10.0
Trifloxystrobin,Corn salad,15.0
Trifloxystrobin,"Wheat, hay and/or straw",5.0
Trifloxystrobin,Radish leaves (including radish tops),15.0
Trifloxystrobin,Peas with pods (subgroup),1.5
Trifloxystrobin,Spinach,20.0
Trifloxystrobin,"Wheat bran, unprocessed",0.5
Trifloxystrobin,"Olive oil, refined",1.2
Trifloxystrobin,Table olives,0.3
Trifloxystrobin,"Bilberry, red",3.0
Trifloxystrobin,"Rice bran, unprocessed",7.0
Trifloxystrobin,Citrus fruits (group),0.5
Trifloxystrobin,Brussels sprouts,0.1
Trifloxystrobin,Barley,0.5
Trifloxystrobin,Ginseng,0.03
Trifloxystrobin,Papaya,0.6
Trifloxystrobin,Poultry meat,0.04
Trifloxystrobin,Gooseberry,3.0
Trifloxystrobin,Rose hips,3.0
Trifloxystrobin,Celery,1.0
Trifloxystrobin,Carrot,0.1
Trifloxystrobin,Peanut,0.02
Trifloxystrobin,Tree nuts (group),0.02
Trifloxystrobin,Cotton seed,0.4
Trifloxystrobin,Eggplant,0.7
Trifloxystrobin,Lentil (dry),0.01
Trifloxystrobin,Potato,0.02
Trifloxystrobin,Banana,0.05
Trifloxystrobin,Grapes,3.0
Trifloxystrobin,"Cabbages, head",1.5
Trifloxystrobin,Milks,0.02
Trifloxystrobin,Peanut fodder,5.0
Trifloxystrobin,"Olive oil, virgin",0.9
Trifloxystrobin,Blueberries,3.0
Trifloxystrobin,Maize,0.02
Trifloxystrobin,Beans with pods (subgroup),0.5
Trifloxystrobin,Poultry fats,0.04
Trifloxystrobin,"Fruiting vegetables, cucurbits (group)",0.3
Trifloxystrobin,"Currants, black, red, white",3.0
Trifloxystrobin,"Barley, hay and/or straw",7.0
Trifloxystrobin,Bean (dry),0.01
Trifloxystrobin,Rice,5.0
Trifloxystrobin,"Lettuce, leaf",15.0
Trifloxystrobin,Eggs,0.04
Trifloxystrobin,Soya bean (dry),0.05
Trifloxystrobin,Pome fruits (group),0.7
Trifloxystrobin,Radish,0.08
Trifloxystrobin,"Peppers, sweet (including pimento or pimiento)",0.3
Trifloxystrobin,Cane berries (subgroup),3.0
Trifloxystrobin,Sugar beet molasses,0.1
Trifloxystrobin,Mammalian fats (except milk fats),0.07
Trifloxystrobin,Stone fruits (group),3.0
Trifloxystrobin,Asparagus,0.05
Trifloxystrobin,Strawberry,1.0
Trifloxystrobin,"Poultry, edible offal of",0.04
Trifloxystrobin,Meat (from mammals other than marine mammals),0.07
Trifloxystrobin,"Sugar beet pulp, dry",0.2
Trifloxystrobin,"Grape, dried (= Currants, Raisins and Sultanas)",5.0
Trifloxystrobin,Maize fodder (dry),10.0
Trifloxystrobin,Leek,0.7
Trifloxystrobin,Linseed,0.4
Trifloxystrobin,"Citrus pulp, dried",1.0
Trifloxystrobin,"Lettuce, head",15.0
Trifloxystrobin,Tomato,0.7
Trifloxystrobin,"Hops, dry",40.0
Trifloxystrobin,Almond hulls,3.0
Trifloxystrobin,Peas (dry),0.01
Trifloxystrobin,Bilberry,3.0
Trifloxystrobin,Coffee beans,0.01
Trifloxystrobin,Wheat,0.2
Trifloxystrobin,"Flowerhead brassicas (includes Broccoli: Broccoli, Chinese and cauliflower)",0.5
Dimethenamid-P,Sweet potato,0.01
Dimethenamid-P,Peanut fodder,0.01
Dimethenamid-P,Poultry meat,0.01
Dimethenamid-P,Milks,0.01
Dimethenamid-P,Potato,0.01
Dimethenamid-P,"Onion, bulb",0.01
Dimethenamid-P,Beetroot,0.01
Dimethenamid-P,Sugar beet,0.01
Dimethenamid-P,"Poultry, edible offal of",0.01
Dimethenamid-P,Maize fodder (dry),0.01
Dimethenamid-P,Sorghum grain,0.01
Dimethenamid-P,Maize,0.01
Dimethenamid-P,Peanut,0.01
Dimethenamid-P,Eggs,0.01
Dimethenamid-P,Soya bean (dry),0.01
Dimethenamid-P,"Bean, hay and/or straw",0.01
Dimethenamid-P,Fodder beet,0.01
Dimethenamid-P,Meat (from mammals other than marine mammals),0.01
Dimethenamid-P,Bean (dry),0.01
Dimethenamid-P,"Sorghum straw and fodder, dry",0.01
Dimethenamid-P,Garlic,0.01
Dimethenamid-P,Shallot,0.01
Dimethenamid-P,Sweet corn (corn-on-the-cob),0.01
Fenhexamid,Gooseberry,5.0
Fenhexamid,"Lettuce, leaf",30.0
Fenhexamid,Juneberries,5.0
Fenhexamid,Strawberry,10.0
Fenhexamid,Asparagus,0.02
Fenhexamid,Meat (from mammals other than marine mammals),0.05
Fenhexamid,Almonds,0.02
Fenhexamid,Eggplant,2.0
Fenhexamid,Nectarine,10.0
Fenhexamid,"Grape, dried (= Currants, Raisins and Sultanas)",25.0
Fenhexamid,Blackberries,15.0
Fenhexamid,Kiwifruit,15.0
Fenhexamid,Elderberries,5.0
Fenhexamid,Bulb onions (subgroup),3.0
Fenhexamid,Gherkin,1.0
Fenhexamid,Blueberries,5.0
Fenhexamid,Cucumber,1.0
Fenhexamid,Milks,0.01
Fenhexamid,"Currants, black, red, white",5.0
Fenhexamid,Bilberry,5.0
Fenhexamid,Plums (including fresh prunes) (subgroup),1.0
Fenhexamid,Edible offal (mammalian),0.05
Fenhexamid,Peach,10.0
Fenhexamid,Peppers (subgroup),2.0
Fenhexamid,Cherries (subgroup),7.0
Fenhexamid,"Raspberries, red, black",15.0
Fenhexamid,Almond hulls,2.0
Fenhexamid,"Lettuce, head",30.0
Fenhexamid,"Squash, summer",1.0
Fenhexamid,Tomato,2.0
Fenhexamid,Apricot,10.0
Fenhexamid,Grapes,15.0
Fenhexamid,Pear,6.0
Fenhexamid,Dewberries (including boysenberry and loganberry),15.0
Indoxacarb,Eggs,0.02
Indoxacarb,Peanut fodder,50.0
Indoxacarb,Tomato,0.5
Indoxacarb,Milks,0.2
Indoxacarb,Cauliflower,0.2
Indoxacarb,Sweet corn (corn-on-the-cob),0.02
Indoxacarb,Mammalian fats (except milk fats),2.0
Indoxacarb,Cotton seed,1.0
Indoxacarb,Dry beans (subgroup),0.09
Indoxacarb,Grapes,2.0
Indoxacarb,"Lettuce, leaf",3.0
Indoxacarb,Mints,15.0
Indoxacarb,Apple,0.5
Indoxacarb,Tree nuts (group),0.07
Indoxacarb,Cowpea (dry),0.1
Indoxacarb,Mung bean (dry),0.2
Indoxacarb,"Poultry, edible offal of",0.01
Indoxacarb,"Maize, stover",25.0
Indoxacarb,"Cotton fodder, dry",20.0
Indoxacarb,"Fruiting vegetables, cucurbits (group)",0.5
Indoxacarb,Beans with pods (subgroup),0.9
Indoxacarb,Soya bean (dry),0.5
Indoxacarb,Milk fats,6.0
Indoxacarb,"Grape, dried (= Currants, Raisins and Sultanas)",5.0
Indoxacarb,Broccoli,0.2
Indoxacarb,Stone fruits (group),1.0
Indoxacarb,Meat (from mammals other than marine mammals),2.0
Indoxacarb,Potato,0.02
Indoxacarb,"Tea, green, black (black, fermented and dried)",5.0
Indoxacarb,Chick-pea (dry),0.2
Indoxacarb,Bush berries (subgroup),2.0
Indoxacarb,Pear,0.2
Indoxacarb,Eggplant,0.5
Indoxacarb,Maize cereals (subgroup),0.01
Indoxacarb,"Lettuce, head",7.0
Indoxacarb,Peanut,0.02
Indoxacarb,"Alfalfa, hay and/or straw",60.0
Indoxacarb,Edible offal (mammalian),0.05
Indoxacarb,Poultry meat,0.01
Indoxacarb,Beetroot,0.5
Indoxacarb,Cranberry,1.0
Indoxacarb,Prunes,3.0
Indoxacarb,Almond hulls,9.0
Indoxacarb,Peppers (subgroup),0.3
Indoxacarb,"Cabbages, head",3.0
Novaluron,Sweet corn fodder,40.0
Novaluron,Edible offal (mammalian),0.7
Novaluron,Chard,15.0
Novaluron,"Fruiting vegetables, cucurbits (group)",0.2
Novaluron,Meat (from mammals other than marine mammals),10.0
Novaluron,Poultry meat,0.5
Novaluron,Bean (dry),0.1
Novaluron,Pome fruits (group),3.0
Novaluron,Eggs,0.1
Novaluron,Prunes,3.0
Novaluron,Milks,0.4
Novaluron,"Poultry, edible offal of",0.1
Novaluron,Milk fats,7.0
Novaluron,Brassica vegetables (except Brassica leafy vegetables) (group),0.7
Novaluron,Mustard greens,25.0
Novaluron,Blueberries,7.0
Novaluron,Sugar cane,0.5
Novaluron,"Fruiting vegetables, other than cucurbits (group)",0.7
Novaluron,Common bean (pods and/or immature seeds),0.7
Novaluron,Strawberry,0.5
Novaluron,Potato,0.01
Novaluron,Soya bean (immature seeds),0.01
Novaluron,Cotton seed,0.5
Novaluron,Stone fruits (group),7.0
Sulfuryl fluoride,"Bran, unprocessed of cereal grain (except buckwheat, cañihua and quinoa)",0.1
Sulfuryl fluoride,Maize meal,0.1
Sulfuryl fluoride,Maize flour,0.1
Sulfuryl fluoride,Rye flour,0.1
Sulfuryl fluoride,"Rice, husked",0.1
Sulfuryl fluoride,Rye wholemeal,0.1
Sulfuryl fluoride,Wheat wholemeal,0.1
Sulfuryl fluoride,Dried fruits,0.06
Sulfuryl fluoride,Tree nuts (group),3.0
Sulfuryl fluoride,"Cereal bran, processed",0.1
Sulfuryl fluoride,Wheat germ,0.1
Sulfuryl fluoride,"Rice, polished",0.1
Sulfuryl fluoride,Wheat flour,0.1
Sulfuryl fluoride,Cereal grains (group),0.05
Bifenazate,Edible offal (mammalian),0.01
Bifenazate,Mints,40.0
Bifenazate,Almond hulls,10.0
Bifenazate,Poultry meat,0.01
Bifenazate,"Fruiting vegetables, cucurbits (group)",0.5
Bifenazate,"Hops, dry",20.0
Bifenazate,Dewberries (including boysenberry and loganberry),7.0
Bifenazate,Tomato,0.5
Bifenazate,Strawberry,2.0
Bifenazate,Milk fats,0.05
Bifenazate,Legume vegetables (group),7.0
Bifenazate,Eggs,0.01
Bifenazate,Bean (dry),0.3
Bifenazate,Milks,0.01
Bifenazate,"Peppers, sweet (including pimento or pimiento)",2.0
Bifenazate,Cotton seed,0.3
Bifenazate,Grapes,0.7
Bifenazate,Pome fruits (group),0.7
Bifenazate,Peppers chili,3.0
Bifenazate,"Grape, dried (= Currants, Raisins and Sultanas)",2.0
Bifenazate,Blackberries,7.0
Bifenazate,Tree nuts (group),0.2
Bifenazate,"Poultry, edible offal of",0.01
Bifenazate,Meat (from mammals other than marine mammals),0.05
Bifenazate,"Raspberries, red, black",7.0
Bifenazate,Stone fruits (group),2.0
Aminopyralid,Hay and/or straw of grasses for animal feed (subgroup),70.0
Aminopyralid,Meat (from mammals other than marine mammals),0.1
Aminopyralid,Poultry meat,0.01
Aminopyralid,Fodder (dry) of cereal grains,3.0
Aminopyralid,"Poultry, edible offal of",0.01
Aminopyralid,"Wheat bran, unprocessed",0.3
Aminopyralid,Eggs,0.01
Aminopyralid,Edible offal (mammalian),0.05
Aminopyralid,Milks,0.02
Aminopyralid,Oats,0.1
Aminopyralid,Wheat,0.1
Aminopyralid,Triticale,0.1
Aminopyralid,Straw of cereal grains,0.3
Aminopyralid,Barley,0.1
Aminopyralid,"Kidney of cattle, goats, pigs and sheep",1.0
Boscalid,"Barley, hay and/or straw",50.0
Boscalid,Eggs,0.02
Boscalid,Wheat,0.5
Boscalid,Pomegranate,2.0
Boscalid,"Grape, dried (= Currants, Raisins and Sultanas)",10.0
Boscalid,Meat (from mammals other than marine mammals),0.7
Boscalid,Pistachio nuts,1.0
Boscalid,Legume vegetables (group),3.0
Boscalid,Brassica vegetables (except Brassica leafy vegetables) (group),5.0
Boscalid,Prunes,5.0
Boscalid,Mango,2.0
Boscalid,Plums (including fresh prunes) (subgroup),1.5
Boscalid,Bulb vegetables (group),5.0
Boscalid,Tree nuts (group),0.05
Boscalid,"Wheat, hay and/or straw",50.0
Boscalid,Poultry fats,0.02
Boscalid,"Peppers chili, dried",10.0
Boscalid,Citrus fruits (group),2.0
Boscalid,Kiwifruit,5.0
Boscalid,Almond hulls,15.0
Boscalid,Strawberry,3.0
Boscalid,"Fruiting vegetables, cucurbits (group)",3.0
Boscalid,Grapes,5.0
Boscalid,Peaches (including apricots and nectarine) (subgroup),4.0
Boscalid,"Citrus oil, edible",50.0
Boscalid,Pulses (group),3.0
Boscalid,Coffee beans,0.05
Boscalid,Poultry meat,0.02
Boscalid,Banana,0.6
Boscalid,Cereal grains (group),0.1
Boscalid,Berries and other small fruits,10.0
Boscalid,Straw and hay of cereal grains (excluding pseudocereals) (subgroup),5.0
Boscalid,Stalk and stem vegetables,30.0
Boscalid,Rye,0.5
Boscalid,Pome fruits (group),2.0
Boscalid,Cherries (subgroup),5.0
Boscalid,Milks,0.1
Boscalid,"Oat straw and fodder, dry",50.0
Boscalid,Oats,0.5
Boscalid,"Tea, green, black (black, fermented and dried)",40.0
Boscalid,Barley,0.5
Boscalid,"Citrus oil, edible",15.0
Boscalid,Milk fats,2.0
Boscalid,Leafy vegetables (group),40.0
Boscalid,"Poultry, edible offal of",0.02
Boscalid,Oilseeds and oilfruits (group),1.0
Boscalid,"Hops, dry",60.0
Boscalid,"Rye straw and fodder, dry",50.0
Boscalid,Edible offal (mammalian),0.2
Boscalid,"Fruiting vegetables, other than cucurbits (group)",3.0
Boscalid,"Citrus pulp, dried",6.0
Boscalid,Root and tuber vegetables (group),2.0
Quinoxyfen,Strawberry,1.0
Quinoxyfen,Melons (except watermelon),0.1
Quinoxyfen,"Lettuce, leaf",20.0
Quinoxyfen,"Currant, black",1.0
Quinoxyfen,"Hops, dry",1.0
Quinoxyfen,"Peppers chili, dried",10.0
Quinoxyfen,"Lettuce, head",8.0
Quinoxyfen,Grapes,2.0
Quinoxyfen,Milk fats,0.2
Quinoxyfen,Edible offal (mammalian),0.01
Quinoxyfen,Sugar beet,0.03
Quinoxyfen,Wheat,0.01
Quinoxyfen,Milks,0.01
Quinoxyfen,Barley,0.01
Quinoxyfen,"Poultry, edible offal of",0.01
Quinoxyfen,Peppers (subgroup),1.0
Quinoxyfen,Eggs,0.01
Quinoxyfen,Meat (from mammals other than marine mammals),0.2
Quinoxyfen,Cherries (subgroup),0.5
Quinoxyfen,Poultry meat,0.02
Thiacloprid,Rice,0.02
Thiacloprid,Mustard seed,0.5
Thiacloprid,Kiwifruit,0.2
Thiacloprid,Eggs,0.02
Thiacloprid,Poultry meat,0.02
Thiacloprid,Eggplant,0.7
Thiacloprid,Almond hulls,10.0
Thiacloprid,Cotton seed,0.02
Thiacloprid,Wheat,0.1
Thiacloprid,"Squash, summer",0.3
Thiacloprid,Pome fruits (group),0.7
Thiacloprid,"Wheat, hay and/or straw",5.0
Thiacloprid,"Poultry, edible offal of",0.02
Thiacloprid,Tree nuts (group),0.02
Thiacloprid,Rape seed,0.5
Thiacloprid,Berries and other small fruits,1.0
Thiacloprid,Stone fruits (group),0.5
Thiacloprid,Meat (from mammals other than marine mammals),0.1
Thiacloprid,Edible offal (mammalian),0.5
Thiacloprid,Potato,0.02
Thiacloprid,Milks,0.05
Thiacloprid,Melons (except watermelon),0.2
Thiacloprid,Watermelon,0.2
Thiacloprid,Cucumber,0.3
Thiacloprid,"Peppers, sweet (including pimento or pimiento)",1.0
Thiacloprid,Winter squash,0.2
Thiacloprid,Tomato,0.5
Dimethomorph,Grapes,3.0
Dimethomorph,"Peas, shelled (succulent seeds)",0.15
Dimethomorph,"Artichoke, globe",2.0
Dimethomorph,Beans without pods (Phaseolus spp.) (succulent seeds),0.7
Dimethomorph,Spinach,30.0
Dimethomorph,Garlic,0.6
Dimethomorph,"Onion, Welsh",9.0
Dimethomorph,Spring onion,9.0
Dimethomorph,Leek,0.8
Dimethomorph,"Fruiting vegetables, cucurbits (group)",0.5
Dimethomorph,Taro leaves,10.0
Dimethomorph,Shallot,0.6
Dimethomorph,Meat (from mammals other than marine mammals),0.01
Dimethomorph,Poultry meat,0.01
Dimethomorph,"Hops, dry",80.0
Dimethomorph,Broccoli,4.0
Dimethomorph,Corn salad,10.0
Dimethomorph,"Peppers chili, dried",5.0
Dimethomorph,Pineapple,0.01
Dimethomorph,Strawberry,0.5
Dimethomorph,"Lettuce, head",10.0
Dimethomorph,"Grape, dried (= Currants, Raisins and Sultanas)",5.0
Dimethomorph,Milks,0.01
Dimethomorph,"Onion, bulb",0.6
Dimethomorph,Celery,15.0
Dimethomorph,"Cabbages, head",6.0
Dimethomorph,Kohlrabi,0.02
Dimethomorph,"Poultry, edible offal of",0.01
Dimethomorph,Eggs,0.01
Dimethomorph,"Lettuce, leaf",9.0
Dimethomorph,Potato,0.05
Dimethomorph,Edible offal (mammalian),0.01
Dimethomorph,"Fruiting vegetables, other than cucurbits (group)",1.5
Pyrimethanil,Meat (from mammals other than marine mammals),0.05
Pyrimethanil,Spring onion,3.0
Pyrimethanil,"Ginseng, dried including red ginseng",1.5
Pyrimethanil,Citrus fruits (group),7.0
Pyrimethanil,Cherries (subgroup),4.0
Pyrimethanil,Potato,0.05
Pyrimethanil,Edible offal (mammalian),0.1
Pyrimethanil,Carrot,1.0
Pyrimethanil,Tomato,0.7
Pyrimethanil,Field pea (dry),0.5
Pyrimethanil,Common bean (pods and/or immature seeds),3.0
Pyrimethanil,Grapes,4.0
Pyrimethanil,Plums (including fresh prunes) (subgroup),2.0
Pyrimethanil,Almonds,0.2
Pyrimethanil,"Raspberries, red, black",15.0
Pyrimethanil,Blackberries,15.0
Pyrimethanil,"Onion, bulb",0.2
Pyrimethanil,"Grape, dried (= Currants, Raisins and Sultanas)",5.0
Pyrimethanil,Sweet corn fodder,40.0
Pyrimethanil,Nectarine,4.0
Pyrimethanil,Low growing berries (subgroup),3.0
Pyrimethanil,"Pea, hay and/or straw",3.0
Pyrimethanil,Pome fruits (group),15.0
Pyrimethanil,Banana,0.1
Pyrimethanil,Milks,0.01
Pyrimethanil,Blueberries,8.0
Pyrimethanil,"Lettuce, head",3.0
Pyrimethanil,Peach,4.0
Pyrimethanil,Apricot,3.0
Pyrimethanil,Cucumber,0.7
Pyrimethanil,Almond hulls,12.0
Zoxamide,"Grape, dried (= Currants, Raisins and Sultanas)",15.0
Zoxamide,"Fruiting vegetables, cucurbits (group)",2.0
Zoxamide,Potato,0.02
Zoxamide,Tomato,2.0
Zoxamide,Grapes,5.0
Azoxystrobin,Berries and other small fruits,5.0
Azoxystrobin,Almond hulls,7.0
Azoxystrobin,Barley,1.5
Azoxystrobin,Milks,0.01
Azoxystrobin,Poultry meat,0.01
Azoxystrobin,"Ginseng, extracts",0.5
Azoxystrobin,Sorghum grain,10.0
Azoxystrobin,Maize,0.02
Azoxystrobin,Sugar beet,4.0
Azoxystrobin,Eggs,0.01
Azoxystrobin,Tree nuts (group),0.01
Azoxystrobin,Edible offal (mammalian),0.07
Azoxystrobin,"Ginseng, dried including red ginseng",0.3
Azoxystrobin,Papaya,4.0
Azoxystrobin,Stone fruits (group),2.0
Azoxystrobin,Triticale,0.2
Azoxystrobin,"Pea, hay and/or straw",20.0
Azoxystrobin,Asparagus,0.01
Azoxystrobin,Pulses (group),0.07
Azoxystrobin,"Maize oil, edible",0.1
Azoxystrobin,Coffee beans,0.03
Azoxystrobin,Dried herbs,300.0
Azoxystrobin,"Lettuce, leaf",3.0
Azoxystrobin,Root and tuber vegetables (group),1.0
Azoxystrobin,Peanut fodder,30.0
Azoxystrobin,Rye,0.2
Azoxystrobin,Guava,0.2
Azoxystrobin,Sunflower seed,0.5
Azoxystrobin,"Peppers chili, dried",30.0
Azoxystrobin,Rape seed,0.5
Azoxystrobin,"Fruiting vegetables, cucurbits (group)",1.0
Azoxystrobin,Cotton seed,0.7
Azoxystrobin,Carambola,0.1
Azoxystrobin,Citrus fruits (group),15.0
Azoxystrobin,Cranberry,0.5
Azoxystrobin,Maize fodder (dry),40.0
Azoxystrobin,Legume vegetables (group),3.0
Azoxystrobin,Herbs,70.0
Azoxystrobin,Witloof chicory (sprouts),0.3
Azoxystrobin,"Sorghum straw and fodder, dry",30.0
Azoxystrobin,Milk fats,0.03
Azoxystrobin,Straw and hay of cereal grains (excluding pseudocereals) (subgroup),15.0
Azoxystrobin,"Hops, dry",30.0
Azoxystrobin,Pitaya,0.3
Azoxystrobin,Brassica vegetables (except Brassica leafy vegetables) (group),5.0
Azoxystrobin,"Poultry, edible offal of",0.01
Azoxystrobin,Ginseng,0.1
Azoxystrobin,Oats,1.5
Azoxystrobin,"Artichoke, globe",5.0
Azoxystrobin,Sugar cane,0.05
Azoxystrobin,"Soya bean, hay and/or straw",100.0
Azoxystrobin,Grapes,2.0
Azoxystrobin,Pistachio nuts,1.0
Azoxystrobin,"Lettuce, head",3.0
Azoxystrobin,Soya bean (dry),0.5
Azoxystrobin,Potato,7.0
Azoxystrobin,Plantain,2.0
Azoxystrobin,Wheat,0.2
Azoxystrobin,Rice,5.0
Azoxystrobin,Peanut,0.2
Azoxystrobin,"Fruiting vegetables, other than cucurbits (group)",3.0
Azoxystrobin,Meat (from mammals other than marine mammals),0.05
Azoxystrobin,Celery,5.0
Azoxystrobin,Mango,4.0
Azoxystrobin,Strawberry,10.0
Azoxystrobin,Banana,2.0
Azoxystrobin,Bulb vegetables (group),10.0
Prothioconazole,Wheat,0.1
Prothioconazole,Cotton seed,0.3
Prothioconazole,Popcorn,0.1
Prothioconazole,Potato,0.02
Prothioconazole,Sweet corn (corn-on-the-cob),0.02
Prothioconazole,Cranberry,0.15
Prothioconazole,Maize,0.1
Prothioconazole,Sweet corn fodder,15.0
Prothioconazole,Rye,0.05
Prothioconazole,Peanut,0.02
Prothioconazole,Sunflower seeds (subgroup),0.5
Prothioconazole,Mammalian fats (except milk fats),0.01
Prothioconazole,Fodder (dry) of cereal grains,5.0
Prothioconazole,Edible offal (mammalian),0.15
Prothioconazole,Pulses (group),1.0
Prothioconazole,"Fruiting vegetables, cucurbits (group)",0.2
Prothioconazole,Eggs,0.0050
Prothioconazole,Rape seed,0.2
Prothioconazole,Triticale,0.05
Prothioconazole,Peanut fodder,15.0
Prothioconazole,"Rape seed oil, edible",0.15
Prothioconazole,"Sunflower seed oil, crude",0.5
Prothioconazole,Soya bean (dry),0.2
Prothioconazole,Linseed,0.03
Prothioconazole,Barley,0.2
Prothioconazole,Oats,0.05
Prothioconazole,Maize fodder (dry),15.0
Prothioconazole,Straw and hay of cereal grains (excluding pseudocereals) (subgroup),4.0
Prothioconazole,"Poultry, edible offal of",0.01
Prothioconazole,Sugar beet,0.3
Prothioconazole,Meat (from mammals other than marine mammals),0.01
Prothioconazole,Poultry meat,0.01
Prothioconazole,Bush berries (subgroup),1.5
Prothioconazole,Milks,0.0040
Prothioconazole,Poultry fats,0.01
Spirotetramat,Sweet corn,1.5
Spirotetramat,Edible offal (mammalian),1.0
Spirotetramat,Leafy vegetables (group),7.0
Spirotetramat,Almond hulls,10.0
Spirotetramat,Litchi,15.0
Spirotetramat,"Cabbages, head",2.0
Spirotetramat,Carrot,0.04
Spirotetramat,Sugar beet molasses,0.3
